evse_latitude,evse_longitude,Pool_SiteType,evse_nominal_power,sessions_per_day
51.033329,2.872718,Unknown,150,1.8064516129032258
51.083238,3.444672,Store,300,14.033333333333333
50.938346,4.475505,Unknown,300,17.06896551724138
50.95223,4.2931,Store,320,4.966666666666667
50.91884,3.171217,Unknown,300,6.266666666666667
51.21718,4.27039,Parking area,175,1.0333333333333334
50.91853,3.200376,Office building,320,1.7
50.901198,3.405845,Parking area,301,1.1935483870967742
51.209628,3.25504,Store,150,2.8
51.034748,4.514834,Store,320,2.161290322580645
51.321999,4.586359,Unknown,300,16.161290322580644
50.90987,4.7127,Store,320,4.258064516129032
50.938346,4.475505,Unknown,300,17.903225806451612
50.938346,4.475505,Unknown,300,12.966666666666667
50.938346,4.475505,Unknown,300,17.387096774193548
50.825547,4.814096,Store,300,11.10344827586207
51.083238,3.444672,Store,300,14.225806451612904
50.870126,4.545831,Unknown,300,13.133333333333333
50.868743,4.544832,Unknown,300,10.32258064516129
50.794686,4.306265,Office building,320,2.3
50.928126,3.958265,Unknown,300,10.766666666666667
50.838111,4.009528,Parking area,150,2.933333333333333
50.928126,3.958265,Unknown,300,11.366666666666667
51.203886,4.647288,Store,350,2.870967741935484
50.793268,4.307761,Office building,150,8.466666666666667
51.21806,4.496005,Store,320,2.8
50.868743,4.544832,Unknown,300,16.466666666666665
51.22396,5.42815,Store,320,2.5161290322580645
50.943524,5.284725,Office building,150,8.838709677419354
51.034748,4.514834,Store,320,4.290322580645161
51.369409,4.842184,Parking area,120,0.03225806451612903
51.208988,3.20235,Store,301,4.466666666666667
51.20877,3.26566,Store,320,1.7096774193548387
51.321999,4.586359,Unknown,300,10.5
50.870126,4.545831,Unknown,300,15.32258064516129
50.749455,3.59509,Store,150,3.4193548387096775
51.321999,4.586359,Unknown,300,11.8
50.878481,4.281058,Store,200,5.333333333333333
50.936129,4.47578,Unknown,300,16.838709677419356
51.017219,3.664973,Office building,600,2.193548387096774
50.90872,4.38627,Store,350,3.6
50.938346,4.475505,Unknown,300,20.566666666666666
51.226805,2.921838,Office building,150,2.129032258064516
50.938346,4.475505,Unknown,300,10.482758620689655
51.176443,4.385541,Office building,300,1.3548387096774193
51.106193,4.368163,Store,300,2.2666666666666666
51.034748,4.514834,Store,320,1.935483870967742
50.944057,4.021875,Parking area,301,3.3666666666666667
50.839853,3.008643,Unknown,400,3.193548387096774
50.937972,4.356449,Office building,150,9.387096774193548
50.850431,3.367583,Parking area,300,5.129032258064516
51.126286,4.433017,Store,300,13.258064516129032
50.870126,4.545831,Unknown,300,13.75
50.957655,5.694141,Office building,400,1.5
50.970743,3.844233,Store,350,8.258064516129032
50.91884,3.171217,Unknown,300,6.4
50.937972,4.356449,Office building,150,3.838709677419355
51.126286,4.433017,Store,300,15.35483870967742
50.923238,3.948618,Parking area,301,2.7857142857142856
50.938346,4.475505,Unknown,300,17.870967741935484
50.716236,5.063168,Unknown,400,16.06451612903226
51.127031,4.550266,Office building,150,6.0
51.140998,4.455897,Office building,200,3.4516129032258065
50.90872,4.38627,Store,350,2.3448275862068964
50.896174,5.402397,Unknown,300,8.806451612903226
50.883402,3.827573,Office building,200,0.23333333333333334
50.95223,4.2931,Store,320,1.6451612903225807
50.868743,4.544832,Unknown,300,10.533333333333333
50.835124,5.509925,Unknown,300,6.620689655172414
50.96129,4.58565,Office building,600,4.2
50.726898,4.258953,Unknown,300,7.566666666666666
51.05169,4.7316,Store,320,6.064516129032258
50.9891,3.58749,Store,320,3.1666666666666665
50.938695,5.318296,Office building,150,6.967741935483871
51.149514,4.127082,Store,320,2.5517241379310347
50.716236,5.063168,Unknown,400,9.193548387096774
50.970743,3.844233,Store,350,13.366666666666667
50.938346,4.475505,Unknown,300,19.677419354838708
51.19844,3.23038,Store,320,2.5
51.19844,3.23038,Store,320,0.9354838709677419
50.95202,4.998123,Store,300,16.967741935483872
50.938346,4.475505,Unknown,300,17.0
50.716236,5.063168,Unknown,400,6.870967741935484
50.841181,4.49586,Office building,200,2.8
51.04756,3.706687,Office building,150,1.8709677419354838
50.848281,4.471597,Parking area,300,6.387096774193548
50.903272,4.346879,Parking area,300,2.5357142857142856
50.936129,4.47578,Unknown,300,22.225806451612904
50.825547,4.814096,Store,300,8.366666666666667
51.320062,3.29838,Unknown,400,3.967741935483871
50.874852,3.837586,Parking area,300,2.6
51.18076,4.3891,Store,320,4.483870967741935
50.848281,4.471597,Parking area,300,7.806451612903226
51.227338,5.431647,Office building,200,2.5806451612903225
51.208988,3.20235,Store,301,4.9
50.886968,4.74097,Store,150,3.0
51.226805,2.921838,Office building,400,3.2333333333333334
51.321999,4.586359,Unknown,300,15.709677419354838
51.242382,4.967385,Store,150,2.6666666666666665
50.726898,4.258953,Unknown,300,10.1
